Location,"Lat,Long",Notes
"Ann Arbor, Michigan","42.281389, -83.748333",
"Aurora, Illinois","41.7605800, -88.3200700
",
"Baldwin, Kansas","38.7775, -95.1875",
"BOISE, ID","43.6187, -116.2146",
"BOISE, ID","43.6187, -116.2146",
"BOISE, ID","43.6187, -116.2146",
"BOISE, ID","43.6187, -116.2146",
"BOISE, ID","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"Boise, Idaho","43.6187, -116.2146",
"BROOKLYN, NY","40.692778, -73.990278",
"Caldwell, Idaho","43.658333, -116.680278",
"Camp Crowder, Missouri","6.818211, -94.369497",As Fort Crowder
"Camp Granada - Amacha, Colorado","38.064722, -102.311111",
"Camp Granada - Amacha, Colorado","38.064722, -102.311111",
"Camp Granada - Amacha, Colorado","38.064722, -102.311111",
"Camp Granada - Amacha, Colorado","38.064722, -102.311111",
"Camp Grant, Illinois","42.208333, -89.082222",
"Camp Grant, Illinois","42.208333, -89.082222",
"Camp Grant, Illinois","42.208333, -89.082222",
"Camp Grant, Illinois","42.208333, -89.082222",
"Camp Grant, Illinois","42.208333, -89.082222",
"Camp Robinson, Arkansas","34.85, -92.300278",
"Camp Savage, Minnesota","44.783333, -93.333333",
"Camp Savage, Minnesota","44.783333, -93.333333",
"Camp Shelby, Mississippi","31.187778, -89.199167",
"Camp Shelby, Mississippi","31.187778, -89.199167",
"Camp Shelby, Mississippi","31.187778, -89.199167",
"Camp Shelby, Mississippi","31.187778, -89.199167",
"Camp Shelby, Missouri","31.187778, -89.199167",Probablly a mistake for Camp Shelby Mississippi
"Central Utah Project, Delta, Utah","39.3522, -112.5772",
"CHICAGO, IL","41.8781 , -87.6298",
"CHICAGO, IL","41.8781 , -87.6298",
"CHICAGO, IL","41.8781 , -87.6298",
"CHICAGO, IL","41.8781 , -87.6298",
"CHICAGO, IL","41.8781 , -87.6298",
"CHICAGO, IL","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
